Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Colt Keith,2.98,87.5%,-702,49.0%,+104,690993,Grayson Rodriguez,680570,Detroit Tigers
Dillon Dingler,3.58,90.3%,-932,55.5%,-125,693307,Grayson Rodriguez,680570,Detroit Tigers
Gage Workman,2.57,59.8%,-149,15.8%,+533,669398,Grayson Rodriguez,680570,Detroit Tigers
Hao-Yu  Lee,2.57,50.1%,-100,10.3%,+875,701678,Grayson Rodriguez,680570,Detroit Tigers
Jahmai Jones,1.78,18.5%,+440,0.8%,+11948,663330,Grayson Rodriguez,680570,Detroit Tigers
Jake Rogers,2.61,34.1%,+193,4.3%,+2220,668670,Grayson Rodriguez,680570,Detroit Tigers
Kevin McGonigle,3.74,79.6%,-391,39.1%,+156,805808,Grayson Rodriguez,680570,Detroit Tigers
Matt Vierling,3.02,40.6%,+146,6.8%,+1373,663837,Grayson Rodriguez,680570,Detroit Tigers
Riley Greene,3.57,89.9%,-894,56.0%,-127,682985,Grayson Rodriguez,680570,Detroit Tigers
Spencer Torkelson,3.29,71.8%,-254,27.9%,+259,679529,Grayson Rodriguez,680570,Detroit Tigers
Wenceel Pérez,3.08,47.6%,+110,9.9%,+907,672761,Grayson Rodriguez,680570,Detroit Tigers
Zach McKinstry,2.97,39.1%,+156,6.2%,+1508,656716,Grayson Rodriguez,680570,Detroit Tigers
Zack Short,1.69,41.2%,+142,4.5%,+2108,670097,Grayson Rodriguez,680570,Detroit Tigers
