Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team,Error
Adam Frazier,2.0,38.0%,+163,4.5%,+2112,624428,Jack Flaherty,656427,Los Angeles Angels,
Donovan Walton,3.0,30.9%,+224,3.7%,+2595,622268,Jack Flaherty,656427,Los Angeles Angels,
Jo Adell,3.84,75.6%,-310,33.8%,+196,666176,Jack Flaherty,656427,Los Angeles Angels,
Jorge Soler,3.67,48.1%,+108,10.8%,+830,624585,Jack Flaherty,656427,Los Angeles Angels,
Jose Siri,1.1,0.0%,N/A,0.0%,N/A,642350,Jack Flaherty,656427,Los Angeles Angels,
Logan O'Hoppe,3.03,74.7%,-295,30.2%,+232,681351,Jack Flaherty,656427,Los Angeles Angels,
Mike Trout,3.53,61.8%,-162,19.5%,+412,545361,Jack Flaherty,656427,Los Angeles Angels,
Nick Madrigal,Error,Error,Error,Error,Error,663611,Jack Flaherty,656427,Los Angeles Angels,list index out of range
Oswald Peraza,2.88,61.4%,-159,17.8%,+461,672724,Jack Flaherty,656427,Los Angeles Angels,
Sebastián Rivero,1.79,38.7%,+159,4.2%,+2287,665861,Jack Flaherty,656427,Los Angeles Angels,
Vaughn Grissom,3.21,71.5%,-251,27.5%,+264,687093,Jack Flaherty,656427,Los Angeles Angels,
Wade Meckler,2.8,63.3%,-173,18.9%,+429,685133,Jack Flaherty,656427,Los Angeles Angels,
Zach Neto,3.91,59.6%,-148,18.4%,+444,687263,Jack Flaherty,656427,Los Angeles Angels,
